pt_code,pt_name
10000055,intestinal pain
10000055,bowel/uterine cramping
10000055,severe colon cramping
10000055,abdominal cramps and pain
10000055,intestinal/stomach pain
10000055,abdominal cramps
10000055,abominal cramps
10000055,abdominal cramping
10000059,abdominal discomfort
10000059,abdominal pressure
10000060,abdominal distention - feel full
10000061,"stomach is bloated, with excess gas"
10000061,belly blew up
10000081,abdominal pain
10000081,constant soreness in abdomen
10000081,pain in my stomach
10000081,abdominal pains
10000081,lower abdominal pain
10000081,severe stomach pain
10000081,terrible abdominal pain
10000095,abdominal problems
10000095,extreme abdominal issues
10000125,bad dreams nightly
10000125,abnormal dreams
10000125,abnoraml dreams
10000125,bad dreams
10000188,significant weight gain
10000439,tore my right achilles tendon just simply taking off from a sprinters stance
10000439,tore my left achilles tendon by simply jumping in the air
10000441,severe achilles tendonitis
10000441,achilles tendon pain in
10000441,achilles peritendonitis
10000441,achilles tendonsitis
10000479,acid reflux
10000479,acidic bile in my mouth
10000479,acid reflux-type symptoms
10000479,severe acid reflux
10000479,affecting my stomach(acid reflux)
10000479,acidic bile at the back of my throat
10000496,acne breakouts on my face and neck
10000762,perforated ulcer
10001286,frozen shoulder
10001488,aggression
10001488,loose temper faster
10001488,short tempered
10001488,rage
10001495,agitated
10001495,severe aggitation
10001495,aggitated
10001495,extreme agitation
10001495,aggitation
10001495,agitation
10001571,elevated urine albumin
10001718,allergic reaction
10001760,alopecia
10001949,memory loss-severe
10001949,memory loss
10001949,loss of memory
10001949,amnesia
10002026,als
10002034,anemia
10002368,quick to snap
10002368,anger
10002368,violent anger
10002546,edema of ankles
10002546,ankles swelling
10002546,sever swelling of ankles
10002552,ankles seized up
10002855,hightened anxiety levels
10002855,anxiety
10002855,extreme anxiety
10002855,anzity
10002855,intense anxiety attacks
10002855,anxious
10002948,aphasia
10002948,language and learning ability loss including spoken and written aphasia and inability to read
10002959,canker sores
10003024,voracious hunger
10003028,lack of appetite
10003028,anorexia
10003028,anorexic
10003028,loss of apetite
10003028,loss of appetite
10003028,lack of attention
10003239,leg joint pain similar to arthritis
10003239,arm joints sore
10003239,joint aches in arms
10003239,severe joint aches
10003239,pain in major joints
10003239,joints aching
10003239,finger joint pain similar to arthritis
10003239,pain in my joints
10003239,joint pain in legs
10003239,joints hurt
10003239,joint pain very arthritic
10003239,joint ache
10003239,arthritic type pain in all joints
10003239,chronic pain in all my joints
10003239,painfull stiff joints
10003239,sore joints
10003239,aching joints
10003239,painful inflamation of joints
10003239,pain in every joint
10003239,joint aches in calves
10003239,joint and muscle pain
10003239,calves joint pain in
10003239,joint aches
10003239,achy joints
10003239,painful inflammed joints
10003239,painful joints
10003239,sore leg joints
10003239,joint pains
10003239,very sore and achy joints
10003239,feet joint pain similar to arthritis
10003239,pain in joints
10003239,joint discomfort
10003239,jointaches
10003239,joint pain
10003239,severe joint pains
10003241,joint pain in my lower back
10003242,severe polyathralgia in ankles
10003242,severe polyathralgia in leg joints
10003246,sever arthritic condition
10003246,arthritis like symptoms in hands
10003246,inflammation of my joints
10003246,severe swolen/inflamation of the fingers/hand
10003246,severe swolen/inflamation of the fingers/hands
10003246,shoulders are inflammed
10003285,failed knee joits
10003285,joint problems
10003285,damage to my shoulder joints
10003285,feels like my joints don't want to work
10003549,overall weak feeling
10003549,disabling fatigue
10003549,week
10003549,very weak
10003549,constantly weak
10003549,so weak
10003549,feeling weak
10003549,debilitating
10003549,weak & wobbley wrists
10003549,weak and wobbly unbalanced
10003549,extreme fatigue
10003549,weakness
10003549,declining physical ability
10003549,extremely fatigued
10003549,debilitated
10003549,overall weakness
10003549,weak
10003549,felt weak
10003549,weaker
10003549,weak feeling
10003549,was incredibly week
10003549,weak all the time
10003549,extreme weakness
10003549,extreme fatique
10003549,extreme fatigued
10003549,felt very weak
10003549,lassitude
10003549,drained
10003553,asthma flare-ups
10003553,asthma
10003731,short attention span
10003983,back problems
10003993,pains in my back
10003993,burning back pain
10003993,slight muscle aches in my back
10003993,back soreness
10003993,constant back pain
10003993,sore back
10003993,very painful muscle aches back
10003993,pains in her back
10003993,aching muscles in back
10003993,aching in back
10003993,pain in the back
10003993,back aches
10003993,aches and pains in my back
10003993,pain back
10003993,back pain
10003993,backache
10003993,pain in my abdomen
10003993,back ache
10003993,pain in back
10003993,back and hip pain
10003993,backpain
10003993,back muscle pain in the
10003993,muscular pain in the back
10003993,wicked back pain
10003993,"""back labor"" pains"
10003993,muscle pain in back
10003993,back discomfort
10004065,bad taste in mouth
10004070,loss body balance
10004070,un-balanced-type feeling
10004070,bad balance
10004070,loss of balance
10004208,extremely hyper
10004208,hyperactive
10004222,increased belching
10004969,vivid weird dreams
10004969,vivid dreams
10004969,weird dreams
10004969,wild dreams
10004977,stool was black
10004982,blackouts
10004982,black outs
10005103,bleeding
10005103,bleeding problems
10005103,bleeding has not subsided
10005103,bled heavily
10005103,bleed
10005103,bleeding constantly
10005103,bleeding problem
10005103,heavy bleeding
10005103,bleeding inside
10005124,bloody noes
10005159,eye muscle spasms
10005191,blisters
10005215,blisters in my mouth
10005265,bloat
10005265,terrible bloating
10005265,bloated
10005265,bloating
10005424,hdl dropped
10005424,"good cholesterol is whacked, lowered"
10005635,serial lactic acid levels consitently well above normal range
10005746,slight effect on my blood pressure
10005747,high blood press
10005747,high bp
10005747,bp was extrememly high
10005747,high blood pressure
10005809,higher blood sugars
10005809,high sugar attack
10005809,blood sugar elevated
10005809,increased blood glucose
10005809,elevated blood sugar
10005809,elevated my blood glucose levels
10005886,very blurry eyesight
10005886,blurring vision
10005886,eye sight appeared foggy
10005886,slightly blurred vision
10005886,foggy vision
10005886,very blurred vision
10005886,blurred vison
10005886,eyes get blury
10005886,blured vision
10005886,vision is so blurry
10005886,blurred vision
10005886,blury vision
10005886,very very blurry vision
10005886,blurry vision
10005886,blurring eyesight
10005886,little blurred vision
10005886,blurry eyesight
10005886,fuzzy vision
10005886,blurr vision
10005888,vision close up is blurry
10005888,vision became blurry
10005890,water retention
10005890,fluids pooling in my lower extremeties - especially my feet
10005890,fluid retention
10006002,bone/joint pain
10006002,bone pain
10006051,dysfunctional bowel
10006131,brain cancer (glial cell related cancer)
10006131,brain cancer
10006242,breasts getting more and more (and more!
10006313,tender breasts
10006451,bronchitis
10006502,deep bruising
10006569,blisterey rash on my legs
10006569,blisterey rash on my arms
10006569,rash with blisters
10006784,burning sensations in hands
10006784,burning sensations in legs
10006784,burning sensations in shoulders
10006784,burning
10006784,burning ankles
10006784,burning sensation
10006784,burning sensations
10006784,burning sensations in calves
10006784,burning of shoulders
10006784,elbows would burn like fire
10006784,"throbbing,burning sensation"
10006784,burning feeling
10006784,burning of ankles
10006784,elbows burning
10006785,burning sensations in upper chest
10006786,burning sensations in neck
10006793,burning of tongue
10006804,burping
10006804,constant burping
10006811,bursitis
10006811,inflammed bursae
10007518,severe arrythmias
10007518,arrythmia
10007518,arrhythmia
10007636,significan heart muscle weakness
10007697,carpal tunnal
10007739,cataract
10008190,stroke
10008190,strokes
10008469,chest discomfort
10008479,chest pain
10008479,chest hurt
10008479,intense chest pains
10008479,chest ache
10008479,intense heart pain
10008479,chest aches
10008479,chestpain
10008479,chest pain left side
10008479,pain in chest
10008479,chest pains
10008531,shaking with chills uncontrollably
10008531,chills
10008531,cold shivers
10008531,intense chills and shivers
10008589,choking the throat
10008589,choking
10008837,chronic and acute back pain
10008837,chronic backache
10008874,severe chronic fatigue
10008874,chronic fatigue
10009129,chronic rhinitus
10009231,clamy feeling
10009231,feel all clammy
10009696,clumsiness
10009846,decreased cognitive skills
10009846,reduced mental capabiities
10009846,cognitive ability deminished
10009846,cognitive disfunction
10009857,cold extremities
10009859,cold toes and feet
10009859,sensation of cold toes
10009860,cold hands
10009863,very sensative to the cold
10009866,cold sweats
10009866,cold sweat
10009866,"cold sweat, shaking uncontrollably"
10009887,colitis
10009887,collitis
10009907,collapades in the floor
10009907,collapse
10010248,cannot concentrate
10010248,lack of concentration
10010248,problems with concentration
10010248,unable to concentrate
10010248,unable to focus
10010248,could'nt concentrate
10010248,inability to concentrate
10010248,lack of ability to concentrate
10010248,not concentrating well
10010248,loss of concentration
10010248,not being able to concentrate
10010248,loss of concentration levels
10010248,ability to concentrate
10010250,difficult to concentrate
10010251,dificulty in concentrating
10010300,memory confusion
10010300,confusion
10010300,very confused
10010300,mentally in a daze
10010300,mental confusion
10010774,constipation
10010774,constipated
10010774,constipitation
10010830,tendon contracture
10010830,achilles tendon tightness
10010855,large dark bruise on hand
10011224,unexplained cough
10011224,cough
10011224,cough heavily
10011285,mussle spasm
10011285,mussel spasms
10011287,cramps in hands
10011287,cramping in my hands
10011287,cramps in my fingers
10011287,cramping in wrists & hands
10011287,hand cramps
10011287,serious cramping hands
10011290,leg cramps
10011290,cramping in my lower legs
10011290,muscle cramps in lower legs
10011290,severe leg muscle cramps
10011290,ackey leg cramps
10011292,feet and leg cramps
10011292,muscle cramps in arms
10011292,muscle spasmns in left arm
10011294,cramping in calf
10011294,cramps in my left calf
10011294,leg calf cramps
10011294,cramping of the calf muscles
10011294,calf cramps
10011294,calf leg cramps
10011294,calf muscle cramping
10011294,muscle cramps in my calf muscles
10011294,cramping in both calves
10011294,cramping in calves
10011294,calf cramping
10011294,severn calf cramps
10011294,cramps in calves
10011301,cramping in legs
10011301,muscle cramps in legs
10011301,spasms in leg muscles
10011301,leg cramps
10011301,muscles in my left leg locked up
10011301,severe leg cramps
10011301,cramping events in my legs
10011301,cramps in thighs
10011301,toe cramping
10011301,cramps in left leg
10011301,cramping in hamstrings
10011301,muscle spasmns in legs
10011301,muscle spasms in leg
10011301,severe cramping in my legs
10011301,legs feel swollen
10011301,leg cramping
10011301,"cramping in both quads (above knee, back of leg)"
10011301,swelling thighs
10011301,severn leg cramps
10011301,leg and feet cramps
10011301,swelling left arm
10011301,thigh cramps
10011301,severe leg cramping
10011301,toe cramps
10011301,leg and foot cramping
10011301,terrible leg cramps
10011301,painful leg cramps
10011301,occasional leg cramps
10011301,leg/foot cramps
10011301,muscle cramping in leg
10011301,cramps in thigh
10011301,cramps in legs
10011301,cramping of the leg muscles
10011368,high cpk
10011368,high pck level
10011469,tearfulness
10011469,crying
10011469,crying for no reason
10011781,bladder infection
10011973,muscle tone depletion
10011973,overall loss of muscle tone
10011973,muscles of whole body dilution in size
10012149,degenative muscle problem
10012174,extreme dehydration
10012174,dehydrated
10012174,dehydration
10012255,paranoid
10012255,paranoia
10012267,dementia
10012374,feeling depressed
10012374,low mood
10012378,extreme depression
10012378,deppression
10012378,big time depression
10012378,intense depression
10012378,very serious depression
10012378,unwarranted depression
10012378,depressions
10012378,depression
10012378,depresion
10012378,severe depression
10012378,growing depression
10012378,mild depression
10012378,depressed
10012378,mmdepression
10012378,suicidal depression
10012378,deep depression
10012396,lungs detoriation like less intake of oxigen
10012422,legs feel like they don't belong to me
10012422,hand feels like it's not mine
10012735,diaharrea
10012735,diahorea
10012735,diarreha
10012735,diarhea
10012735,diahhrea
10012735,diarrhoa
10012735,bathroom with the runs
10012735,dioreah
10012735,diarrhoea
10012735,diarrehea
10012735,diarreah
10012735,diahrrea
10012735,diarhhea
10012735,diarea
10012735,diarria
10012735,dioreaha
10012735,diarrea
10012735,massive diarrhea
10012735,severe diarrhea
10012735,diarrhea
10012735,direar
10012735,brown water
10012735,diahrea
10012791,breathing problems
10012791,difficulty breathing
10012791,breathing difficulties
10012791,hard to breathe
10012791,hard to breath
10012791,difficulty/shallow breathing
10012804,poor sleep
10012804,doesnt sleep very well at night
10012804,hard time sleeping
10012804,difficulty sleeping
10012804,hard to sleep
10012804,difficult to sleep
10012804,trouble sleeping
10012804,comfortably couldn't sleep
10012804,inability to sleep well
10012804,sleep loss
10012804,problems sleeping
10012804,can not sleep
10012804,cannot sleep
10012804,could not sleep well
10012804,lousy sleeping at night
10012804,sleep is not very sound
10012805,diffuculty thinking
10012805,inability to think clearly
10012805,frequently unable to think clearly
10012805,fuzzy thinking
10012805,not be able to process thoughts
10012805,fuzzy
10012805,inability to think fast enough
10012805,fuzzy headed
10012805,blurred thinking
10012805,loss of coherent thought
10012805,muddled thinking
10012805,difficulty thinking
10013050,disabled
10013092,discomfort
10013092,discomfort in my legs
10013092,discomfort in my left hand
10013160,dislocating
10013237,myopathies
10013237,myopathy
10013237,neck muscel problems
10013242,neurological damage
10013272,tendinopathy
10013394,got lost on way
10013394,disorientation
10013394,disorentatation
10013394,disoriented
10013538,bouts of diverticulitis
10013573,dizzines
10013573,dizziness (fainting spells)
10013573,occasional dizziness
10013573,dizzieness
10013573,intense dizziness
10013573,dizzy spells
10013573,diziness
10013573,dizziness
10013573,slightly dizzy virtually all the time
10013573,dizzyness
10013573,dizzy
10013646,skipping heart beats
10013649,drowsy
10013649,bit drowsy
10013649,excessive drowsiness
10013649,sleepy
10013649,hard to stay awake
10013649,drowsiness
10013778,extremely dry eyes
10013778,dry eyes
10013778,eyes are so dry
10013779,hair dryness
10013781/10003068,dry mouth
10013781/10003069,dry mouth
10013781/10003070,dry mouth
10013781/10003071,dry mouth
10013781/10003072,dry mouth
10013781/10003073,dry mouth
10013781/10003074,dry throat and mouth
10013781/10003075,extremely dry mouth
10013781/10003076,dry mouth
10013781/10003077,dry mouth
10013786,fingertips scaly
10013786,"dry,itchy skin"
10013786,super dry skin
10013786,dry skin
10013786,persistent dry skin spots
10013786,skin is so dry
10013908,abnormal uterine bleeding
10013935,severe menstual pain
10013950,dysphagia
10013952,speech problems
10013952,difficulty speaking
10013952,speech so bad
10013952,speech difficulties like pronunciation
10013968,shortness of breath
10013968,breathlessness
10013968,short of breath
10013968,loss of breath
10013996,buzzing in both ears
10014048,stiff upon waking
10014184,eczema
10014184,eczema on feet
10014184,eczema on hands
10014474,elevated bp
10014474,elevated bloodb pressure
10015026,burning in my stomach
10015026,burning my esophagus
10015090,nosebleeds
10015150,erithema
10015607,menstruating with heavy bleeding every 11 days
10015607,2-3 periods a month instead of once a month
10015627,easily excited
10015667,always feeling tired
10015667,always exhausted
10015667,exhaustion
10015667,extreme exhaustion
10015667,exhausting
10015667,exhausted
10015667,exhausted all the time
10015715,language problems
10015916,eye trouble
10015916,eye problem
10015916,eye problems
10015958,eye pain
10015958,eyes hurt
10016008,eye heavy
10016008,heaviness in eyes
10016059,sores on the inner cheeks
10016060,facial paralysis
10016065,swelling face
10016065,slight swelling of cheeks
10016065,face and fingers are swollen
10016065,face looks puffy
10016065,facial swelling
10016173,falls
10016178,falling over
10016256,very fatigued
10016256,constant fatigue
10016256,increase in level of fatigue
10016256,feeling exausted
10016256,needed to rest every few minutes
10016256,persistent fatigue
10016256,extreme tiredness
10016256,fatique
10016256,"fatigue, increased"
10016256,severe fatigue in my body
10016256,fatiqued
10016256,sever fatigue
10016256,increased fatigue
10016256,severe fatigue
10016256,horrible fatigue
10016256,fatigue
10016256,unexplained fatigue
10016256,much fatigue
10016256,fatigued
10016256,feelings of fatigue
10016275,'scared' feeling
10016275,fear
10016324,feel bad
10016333,feel drugged
10016334,feel hot
10016335,hot and cold on and off
10016335,"freezing cold,like arms plunged into freezing water,then burning sensations"
10016335,hot/cold fever-like sensations in the skin
10016336,constant hunger
10016336,hunger feeling
10016336,always hungry
10016336,hunger
10016336,extreme hunger
10016341,lonliness
10016364,sadness
10016364,veneer of sadness
10016364,feeling desperately miserable
10016364,overall misery
10016379,i felt like i was going to pass out
10016558,feverish
10016558,fevers
10016558,fever
10016750,flank pain
10016766,general degradation
10016766,excessive gas
10016766,general fatigue
10016766,horrible gas
10016766,gastric bleed
10016766,general weakness
10016766,extreme gas
10016766,abdominal gas
10016766,general depression
10016766,general malaise
10016766,big time flatulence
10016766,gassy
10016766,gi hemmorage
10016766,geting bad swets
10016766,gastro/ent
10016766,gastrointestinal problems
10016766,gass
10016766,general feeling of malais
10016766,general feeling of weakness
10016766,mild flatulance
10016766,geneal aches and pains
10016766,stomach gas
10016766,gas
10016766,gerd
10016766,gets tired a lot
10016766,general weak feeling overall
10016766,gas/wind
10016766,gastric pain
10016766,general muscle soreness
10016766,general weakness in my hands
10016766,little gas
10016766,mild flatuelence
10016766,extreme gas in stomach and intestines
10016766,flatulance
10016766,flatulence
10016766,uncontrollable gas
10016766,gi distress
10016766,gi difficulties
10016766,gastric upsets
10016766,general weakness in my calves
10016766,general stomach upset feeling
10016766,glossitis
10016766,gi bleed
10016766,get tired vry easily
10016766,wind
10016766,genitals and lips excruciating
10016766,general weakness in my feet
10016766,lots of gas
10016766,general weakness in hands
10016766,constant gas
10016766,gastro problem
10016766,gasto discomfort
10016766,generaly feeling unwell like walking in a daze (zombie like)
10016766,bad gas
10016766,general muscle weakness
10016766,gassy abdominal cramping
10016766,windy
10016766,general overal weakness
10016766,severe gas
10016767,diarreah cramping
10016767,gas pains in abdomen
10016767,gas pains around my abdomen
10016767,gas pains back
10016767,gas pains in back
10016767,gas pains
10016825,slight flush
10016825,hot flashes
10016825,excessive hot flashes
10016825,flushing
10016825,body flushes
10016825,hot/heated flushing sensation that began mid-torso and continued up to the top of head (top of scalp started tingling and burning)
10016825,complete body flushes (like a hot flash without the hot)
10016964,cramping in feet
10016964,feet are cramping
10016964,muscle cramps in feet
10016964,foot cramps
10016964,toes went into muscle spasms
10016964,cramping in toes
10016964,serious feet cramping
10016964,cramps in my feet
10016964,foot and leg cramps
10016964,severe cramps in toes
10016974,foot pain
10016974,bottom of my foot is extremely tender
10016974,feet pain
10016974,muscle pain in feet
10016974,pain in feet
10016974,my feet feel like i have stone bruises just in front of the heel
10016974,acute pain in both feet
10016974,right foot hurts
10016974,feet is painful
10016974,pain on the sole of my feet
10016974,bottoms of feet hurt
10016974,pain in left foot
10016974,sore feet
10016974,my feet hurt
10016974,terrible pain in my feet
10016974,pain in my foot
10016974,pain in feet and legs
10016974,ball of my left foot was so painful
10016974,feet hurt
10016974,very painful feet
10016974,bottoms of my feet hurt
10016974,left foot started hurting
10016974,feet still hurt
10016974,feet sore
10016974,sore and stiff feet
10016974,pain in bottom of feet
10016974,pain in foot
10016974,feet pains
10016974,foot/ankle pain
10017060,forgetful
10017060,forget things all the time
10017060,forgetfulnes and confussion
10017060,extreme forgetfulness
10017060,forgetfullness
10017060,forgetfulness
10017475,abnormal liver function
10017476,liver was functioning at only 50%
10017553,my skin in boils
10017584,shufflihg gait
10017584,shuffle when i walk
10017587,stumbeling
10017641,gall bladder disease
10017822,stomach ulcers
10017822,ulceration of stomach
10017822,stomach ulcer
10018011,abdominal flu symptoms
10018011,major gastrointestinal problems
10018074,aches and pains
10018074,body pain
10018074,deep ache from my waist down to the heels of my feet
10018074,aches and pain from head to toe
10018074,body pains
10018074,body ached
10018074,pain throughout my body
10018074,mild aches
10018074,ache all over
10018074,everything hurts
10018074,pain all over my body
10018074,hert from head to my toe
10018074,everything on my body hurts
10018074,aching (like the flu)
10018074,body aches
10018074,whole body hurts
10018074,aching over my entire body
10018074,"ached all over, especially in legs"
10018074,hurt every where
10018089,pains all over body
10018123,itching all over
10018135,felt generally terrible
10018135,felt very unwell
10018135,feeling horrible like a severe flu just hit me
10018135,quite ill
10018135,extremely sick
10018135,felt rotton all day long
10018135,feeling sick
10018279,gum trouble
10018292,gum infections
10018386,"sore, tingly tongue(glossitis)"
10018498,goiter
10018730,groggy
10018730,grogginess
10018836,blood in my stools
10018836,blood in bowel movements
10018836,blood in my stool
10018836,blood in stool
10018836,passing blood and clots with stoals
10018867,hematuria
10018867,blood clots in urine
10018867,blood in urine
10018867,blood began showing up in my urine
10018867,urine is bloody
10018867,urine full of blood
10019022,hemorrhoids
10019045,hair falling out
10019045,hair loss (diffuse alopecia)
10019045,hair losss
10019045,hair thinning
10019045,hairloss
10019045,hair fell out
10019045,thining hair
