Input_ADR,True_ADR,Predicted_ADR,Top5_Predictions,Error_Type
blured vision,Blured vision,blured vision,"['blurring vision' 'blurry vision' 'blurry vision' 'Blury vision'
 'blured vision']",Semantic confusion
stiff elbows,stiff elbows,Arm stiffness,"['Joint Stiffness' 'joint stiffness' 'stiff joints' 'stiff joints'
 'Arm stiffness']",Semantic confusion
vertigo,VERTIGO,vertigo,['vertigo' 'vertigo' 'vertigo' 'vertigo' 'vertigo'],Semantic confusion
chest pains,Chest pains,chest pains,"['intense chest pains' 'chest pains' 'chest pains' 'chest pains'
 'chest pains']",Semantic confusion
turning in bed is painful,turning in bed is painful,moving in bed is painful,"['unable to get out of bed' 'hurts to get up in the morning'
 'difficult for me to get out of bed' 'waking me up at night in pain'
 'moving in bed is painful']",Semantic confusion
pain between my shoulder blades,pain between my shoulder blades,pain inbetween both shoulder blades,"['pain in my shoulder' 'muscle pain just below shoulder blades'
 'Nagging muscle pain between and just below my shoulder blades'
 'Stabbing pain between shoulder blades'
 'pain inbetween both shoulder blades']",Semantic confusion
massive gas cramps,massive gas cramps,major cramps,"['gastrointestinal cramping' 'Painful stomach cramps'
 'gassy abdominal cramping' 'gas pains' 'major cramps']",Semantic confusion
bone pain,bone pain,bone/joint pain,"['Pain in joints' 'pain in joints' 'pain in joints' 'bone deep aches'
 'bone/joint pain']",Semantic confusion
nausia,nausia,diahrea,['nauseous' 'nauseous' 'Naseua' 'diahrea' 'diahrea'],Semantic confusion
insomnia,INSOMNIA,insomnia,['Insomnia' 'Insomnia' 'insomnia' 'insomnia' 'insomnia'],Semantic confusion
night muscle cramps,night muscle cramps,muscle cramps,"['muscle cramps' 'muscle cramps' 'muscle cramps' 'muscle cramps'
 'muscle cramps']",Semantic confusion
loss of weight,loss of weight,weight loss,"['lost 30 pounds' 'severe weight loss' 'weight loss' 'weight loss'
 'weight loss']",Semantic confusion
lower leg weakness,lower leg weakness,extreme leg weakness,"['weakness in legs' 'weakness in legs' 'weakness in legs' 'leg weakness'
 'extreme leg weakness']",Semantic confusion
cramping in back,cramping in back,cramping in back muscles,"['severe cramping' 'severe cramping' 'severe muscle back cramp'
 'severe cramping in my back' 'cramping in back muscles']",Semantic confusion
spasms in left arm,spasms in left arm,muscle spasmns in left arm,"['muscle spasms' 'muscle spasms' 'extreme ache in left arm'
 'severe muscle pain in left arm' 'muscle spasmns in left arm']",Semantic confusion
pinches in the fingers,pinches in the fingers,pinches in skin,"['pain in my fingers' 'fingers hurt' 'sore fingers' 'Tingeling in fingers'
 'pinches in skin']",Semantic confusion
permanent irreversible muscle damage,"permanent, irreversible muscle damage",permanent muscle damage,"['muscle damage' 'muscle damage' 'muscle damage' 'muscle damage'
 'permanent muscle damage']",Semantic confusion
back discomfort,back discomfort,back pain,['back pain' 'back pain' 'back pain' 'back pain' 'back pain'],Semantic confusion
when i went to sit down instead of sitng normaly i would almost fall down in the chair no control no strength upon getting up i had to hold on to something to get up,"when I went to sit down instead of sitng normaly I would almost fall down in the chair no control no strength, upon getting up I had to hold on to something to get up",Difficulty getting up out of a chair,"[""couldn't lift my arms or legs"" 'difficulty reaching seat'
 'could hardly walk or sit' 'Unable to sit'
 'Difficulty getting up out of a chair']",Semantic confusion
constipation,constipation,Constipation,"['Constipation' 'constipation' 'Constipation' 'constipation'
 'constipation']",Lexical variation
malaisse,malaisse,malaise,['general feeling of malais' 'malaise' 'Malaise' 'malaise' 'malaise'],Semantic confusion
